price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,price21,price22,price23,price24,price25,price26,price27,price28,price29,price30,low_media,low_media_iter2,low_media_iter3,low_delta,high_media,high_media_iter2,high_media_iter3,high_delta,subida_exa,subida_exa_index
27099.98,27043.69,27046.19,27055.01,27037.33,26970.9,26966.85,27007.87,27034.33,27052.22,27083.79,27094.1,27020.69,27012.11,26975.44,26968.44,27041.03,27023.42,27007.48,27005,27000,27049.28,27023.69,27018.71,27095.41,27098.67,27115.03,27105.7,27097.28,27186.84,26715.8,26757.2,26793.1,26694.9,27092.4,27084.3,27080.7,26941.1,1,11
27249.83,27245.68,27230,27221.42,27185.51,27264.37,27281.3,27264.18,27252.59,27327.55,27308.4,27377.78,27415.99,27405,27342.21,27358.07,27344.25,27383.87,27366.01,27367.7,27337,27319.82,27350,27362.48,27366.99,27393.45,27403.8,27441.28,27434,27393.22,26782.8,26853.3,26900.7,26945.5,27208.2,27196.6,27191.1,27190.6,1,5
27124.89,27140.88,27200,27201.99,27227.85,27216.38,27220.55,27233.99,27227.73,27199.75,27201.04,27188.97,27196.28,27193.49,27192.31,27160.79,27162.32,27148.09,27153.49,27162.69,27140.37,27142,27127.29,27130.77,27139.22,27124.85,27150.35,27169.81,27140.96,27153.75,26906.5,26963.7,26994.3,26919.2,27177.7,27162.6,27156.3,27165.4,1,2
26610.82,26626.51,26601.96,26644.08,26648.66,26698.24,26742.72,26774.25,26802.19,26833.79,26801.07,26807.82,26791.44,26802.31,26780.31,26754.5,26765.1,26747.18,26815.14,26770.83,26794.68,26779.06,26779.99,26771.06,26779.9,26782.53,26795.52,26793.69,26848.28,26844.68,26527.8,26570,26596.9,26505.5,26729.6,26696.8,26668.7,26759.7,1,7
26761.67,26769.73,26789.35,26798.56,26813.24,26834.76,26820.12,26777.93,26796.47,26800.28,26772.75,26770.29,26796.77,26797.8,26797.54,26777.74,26763.87,26752.66,26747.08,26746.62,26721.49,26755.17,26725.4,26699.54,26669.73,26671.33,26692.13,26689.39,26684.99,26633.83,26579.2,26638.4,26652,26698,26804.1,26782.1,26763.3,26958.7,1,4
26448.71,26453.29,26442.1,26434.89,26451.44,26538.37,26527.99,26556.18,26566.54,26556.22,26544.29,26543.71,26546.26,26538.26,26535.51,26557.61,26528.35,26537.73,26538.46,26542.77,26534.57,26499.06,26467.32,26504.65,26500.44,26571.61,26586.11,26609.72,26621.46,26608.1,26177.9,26271.1,26314.3,26343.6,26551.7,26483.9,26461.2,26574.8,1,7
27453.94,27599.99,27562.69,27539.99,27447.47,27451.8,27438.15,27441.83,27517.42,27544.31,27516.35,27517.43,27556.4,27582.45,27684.73,27721.69,27727.36,27742.64,27704.47,27716.53,27780.35,27776.99,27767.55,27736.04,27804,27748.43,27705.25,27725.62,27744.63,27739.59,26920.5,27127.8,27152.7,27079.4,27464.1,27448,27441.3,27316.2,1,8
28110,28197,28174.74,28166.43,28173.5,28146.49,28118.77,28082.51,28018.51,27919.27,27893.03,27847.9,27904.8,27800.34,27795.87,27804.54,27777.9,27833.02,27827.29,27802.43,27839.59,27879.58,27855.7,27851.44,27804.82,27848,27888.19,27897.36,27906.79,27870.24,27888.3,27967.4,28022.4,27845.7,28186.1,28143.3,28119.5,28109.6,1,1
28893.91,28979.99,28970.25,29075.01,29127.99,29120.66,29076.06,29105.93,29144.4,29163.03,29179.56,29206.58,29230.48,29248.31,29240.28,29188.33,29220.55,29249.84,29286.35,29293.14,29263.99,29233.14,29255.56,29204.24,29147.14,29167.44,29239.99,29234.31,29207.84,29203.78,28713,28778.5,28820.8,28691.7,28963.7,28935.4,28919.7,28950,1,1
28944.14,28962.73,28949.22,28958.14,28987.69,29004.71,29009.49,29020.85,29034.89,29100,29223.47,29142.78,29189.98,29160.17,29133.3,29133.23,29140.02,29154.97,29156.2,29169.87,29174.5,29226,29214.28,29245.25,29208.84,29215.45,29196.1,29154.84,29179.4,29243.61,28775.1,28807.6,28830.9,28751,29066,29042.6,29023.1,29033.7,1,9
