price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,price21,price22,price23,price24,price25,price26,price27,price28,price29,price30,low_media,low_media_iter2,low_media_iter3,low_delta,high_media,high_media_iter2,high_media_iter3,high_delta,subida_exa,subida_exa_index
26841.4,26807.64,26791.08,26783.84,26771.8,26792.05,26825.01,26856.57,26816.46,26856.72,26860.2,26850,26870.87,26874.96,26877.26,26912.6,26862.65,26809.02,26795.01,26785.33,26788.77,26777.75,26770.68,26759.23,26799.99,26797.96,26827.39,26822.29,26772.71,26760.44,26843.7,26854.8,26859.1,26811.1,27111.8,27073.5,27052.1,27051.8,1,0
26744.98,26730.03,26707.83,26714.3,26751.02,26796.52,26801.95,26815.33,26819.92,26814.67,26800.01,26811.22,26805.08,26778.35,26756.83,26740.35,26769.38,26797.38,26781.21,26796.62,26809.99,26793.59,26771.48,26795.55,26808.82,26814.5,26801.83,26800.05,26786.65,26754.55,26684.7,26714.4,26730.3,26624.1,26964.2,26888.2,26858.2,26864.2,1,1
26717.26,26694.13,26651.87,26671.7,26670.49,26705.71,26696.11,26707.29,26680,26713.05,26747.79,26755.12,26767.01,26805.35,26849.5,26886.46,26851.08,26855.68,26856,26839.53,26851.76,26849.18,26833.81,26840.94,26848.49,26850,26842.86,26840.94,26859.07,26830.68,26664.8,26707.6,26728.6,26614.9,26892.5,26826.5,26798.5,26850.5,1,0
26817.26,26835.04,26791,26763.31,26734.78,26732.92,26733.89,26724.83,26743.34,26803.37,26791.23,26768.69,26808.28,26892.91,26926.85,26935.37,26985.89,26961.22,26952.39,26994.52,27030.82,27016.39,27001.47,26980.93,26983.77,26945.92,26956.89,26949.34,27007.95,27075.92,26712.3,26763.1,26794.8,26621.1,26919.7,26878.1,26856.7,26859.1,1,2
27276.88,27271.65,27320,27341.75,27321.45,27371.66,27360.4,27360.84,27322.05,27342.43,27362.29,27339.58,27333.36,27325.33,27322.77,27256,27281.93,27278.53,27304.66,27284.06,27254.72,27186.05,27200.37,27207.78,27227.83,27216.58,27219.8,27208.33,27249.22,27331.1,27052.7,27214.5,27318.7,27056.4,27609,27540.1,27505.4,27304.6,1,0
27243.02,27215.35,27212.27,27205.16,27209.4,27208.27,27189.38,27167.42,27193.8,27181.81,27162.91,27143.15,27154.17,27148.67,27027.77,27085.06,27060.67,27078.09,27099.91,27090.45,27073.74,27056.9,27073.88,27072.05,27114.53,27078.1,27103.22,27088.2,27075.79,27113.92,27059.1,27138.2,27186.7,27130,27299,27277.7,27269.4,27366.8,1,7
27077.31,27060.41,27015.91,27034.03,26993.91,27022.16,26976.23,26968.23,26998.38,26913.14,26894.92,26854.58,26864.48,26888.12,26940.6,26930.13,26937.06,26948.54,26914.27,26920.11,26910,26875.6,26864.16,26949.36,26948.92,26982.29,26944.54,26923.05,26916.32,26843.24,26891.5,26974,27024,27128,27205.4,27154,27133.6,27365.6,1,2
26778.32,26800.5,26875.16,26911.5,26965.3,26948.5,27031.79,27024.24,27025.07,27003.86,27031.04,27020.68,27046.37,27042.89,27037.83,27032.7,27040.59,27064.28,27078.4,27073.42,27104.91,27095.41,27042,27030,27005.95,27019.35,27057.23,27080.5,27075,27067.97,26762.7,26799.9,26820.6,26969.2,27050.7,26986.5,26934.2,27212.8,1,0
26819.91,26871.6,26815.34,26736.64,26760.71,26746.02,26745.27,26756.78,26763.36,26808.38,26750,26758.19,26801.14,26779.49,26729.36,26798.53,26756.89,26776.19,26744.68,26783.25,26808.67,26815.88,26815.12,26850.05,26842.79,26875.02,26862.41,26880.17,26866.97,26873.25,26800.4,26816.6,26824.5,26872,27093.3,27061.5,27045.8,27111,1,0
26877.96,26855.22,26870.97,26864.28,26836.18,26820.15,26839.9,26852.64,26859.42,26880.54,26857.22,26851.64,26836.73,26783.55,26806.26,26820.95,26814.24,26800.08,26765.01,26752.62,26755.37,26727.5,26751.23,26703.49,26724.94,26731.72,26680.2,26668.8,26627.3,26660.26,26849,26873,26887.4,26736.4,27029.9,26989.4,26954.6,26971.9,1,0
26669.76,26630.91,26509.74,26524.08,26485.77,26577.34,26644.87,26624.42,26637.83,26685.99,26695.72,26740.92,26756.38,26731.44,26752.34,26734.93,26676.53,26715.47,26700.68,26726.77,26922.14,26875.33,26870.94,26907.91,26898.89,26870,26847.49,26864.42,26891.69,26853.41,26679,26692.1,26698.7,26518.1,27026.7,26932,26867.6,26747.4,1,0
